original,Endnote_intext_citation
"Traill, L.W., Perhans, K., Lovelock, C.E., Prohaska, A., McFallan, S., Rhodes, J.R. and Wilson, K.A., 2011. Managing for change: wetland transitions under sea‐level rise and outcomes for threatened species. Diversity and distributions, 17(6), pp.1225-1233.",(Traill et al. 2011)
"Tranchant, Y., Vidal, E. and Kayser, Y., 2003. First data on the diet of the Feral Cat Felis catus on Mediterranean micro-islands. REVUE D ECOLOGIE-LA TERRE ET LA VIE, 58(4), pp.411-418.",(Tranchant et al. 2003)
Travers in Medway 2004a,Travers in Medway 2004a
"Trewella, G.J., Cremona, T., Nevard, H. and Murphy, B.P., 2023. Habitat structure facilitates coexistence of native and invasive mesopredators in an Australian tropical savanna. Wildlife Research, 50(12), pp.1058-1070.",(Trewella et al. 2023)
"Troncoso, J. 2010. Reptiles terrestres en peligro de extinción en la zona central de Chile. La Chiricoca 10: 1-11",(Troncoso 2010)
"Turbott, E. G. 1990. Checklist of the birds of New Zealand and the Ross Dependency, Antarctica, 3rd edition. Auckland: Random Century and the Ornithological Society of New Zealand.",(Turbott 1990)
"Turner, H., Griffiths, R.A., Outerbridge, M.E. and Garcia, G., 2023. Dynamic occupancy modelling to determine the status of a Critically Endangered lizard. Oryx, 57(1), pp.23-29.",(Turner et al. 2023)
"Tyler, J.D. 1992. Nesting ecology of the Loggerhead Shrike in southwestern Oklahoma. Wilson Bulletin 104(l):95-104.",(Tyler 1992)
"Tyrberg, T.; Milberg, P. 1991. Xenicus lyalli: utrotad av Polynesiernas råta och fyrvaktarens katt. Vår Fågelvärld 50: 15-18.",(Tyrberg & Milberg 1991)
"U S Fish and Wildlife Service, “Draft revised recovery plan for the Nene or Hawaiian Goose (Branta sandvicensis)” (US Fish and Wildlife Service, Portland, 2004).",(USFWS 2004)
U. S. Fish and Wildlife Service. 1998. Recovery plan for the Nightingale Reed-warbler Acrocephalus luscinia.,(USFWS 1998b)
"U.S. Fish and Wildlife Service (Service). 2013. Cahow or Bermuda Petrel (Pterodroma cahow) 5-Year Review: Summary and Evaluation. Raleigh Ecological Services Field Office, Raleigh, NC. 19 pp.",(USFWS 2013a)
"U.S. Fish and Wildlife Service (USFWS). 2011. Recovery plan for Hawaiian waterbirds, second revision. U.S. Fish and Wildlife Service, Portland, Oregon.",(USFWS 2011)
"U.S. Fish and Wildlife Service (USFWS). 2020. 5-year review summary and evaluation for palila (Loxioides Bailleui). Pacific Islands Fish and Wildlife Office, Honolulu, Hawaii.",(USFWS 2020)
U.S. Fish and Wildlife Service. 2000. Mexican Long-nosed bat. Available at: http://bb35.tpwd.state.tx.us/nature/wild/mammals/bats/species/mex_longnose.htm. (Accessed: September 29).,(USFWS 2000)
"UNEP World Conservation Monitoring Centre, “Report on the status and conservation of the Humboldt penguin Spheniscus humboldti” (UNEP World Conservation Monitoring Centre, Cambridge, 2004).",(UNEP World Conservation Monitoring Centre 2004)
US Fish & Wildlife Service. 2009. Revised Recovery Plan for the 'Alala (Corvus hawaiiensis). Available at: #http://ecos.fws.gov/docs/recovery_plan/090417.pdf#.,(USFWS 2009)
"US Fish and Wildlife Service, Endangered and threatened wildlife and plants, determination of threatened status for the giant garter snake. Federal Register. 58, 54053–54066 (1993).",(USFWS 1993)
"US Fish and Wildlife Service, “Cahow or Bermuda petrel (Pterodroma cahow) 5-Year review: summary and evaluation” (U.S. Fish and Wildlife Service, Raleigh, 2013), pp. 1–20.",(USFWS 2013b)
"US Fish and Wildlife Service, “Draft revised recovery plan for Hawaiian waterbirds, second draft of second revision” (US Fish and Wildlife Service, Portland, 2005).",(USFWS 2005)
"US Fish and Wildlife Service, “Recovery plan for the Micronesian megapode (Megapodius laperouse laperouse)” (US Fish and Wildlife Service, Portland, 1998).",(USFWS 1998a)
"US Fish and Wildlife Service, “Revised Recovery Plan for the `Alala (Corvus hawaiiensis)” (US Fish and Wildlife Service, 2009).",(USFWS 2009)
USFWS (1993),USFWS (1993)
"Underhill, L.G., Crawford, R.J.M., Wolfaardt, A.C., Whittington, P.A., Dyer, B.M., Leshoro, T.M., Ruthenberg, M., Upfold, L. and Visagie, J., 2006. Regionally coherent trends in colonies of African penguins Spheniscus demersus in the Western Cape, South Africa, 1987–2005. African Journal of Marine Science, 28(3-4), pp.697-704.",(Underhill et al. 2006)
"V. P. Mellado, C. Corti, P. Lo Cascioa, Tail autotomy and extinction in Mediterranean lizards. A preliminary study of continental and insular populations. Journal of Zoology. 243, 533–541 (1997).",(Mellado et al. 1997)
"Valqui, J. 2012. The marine otter Lontra felina (Molina, 1782): A review of its present status and implications for future conservation. Mammalian Biology 77: 75-83.",(Valqui 2012)
"Van Denburgh, J., 1924, The birds of the Todos Santos Islands. Condor 26: 67-71.",(Van Denburgh 1924)
"Van Dyck, S. and Gynther, I.C., 2012. Water mouse Xeromys myoides. Queensland’s Threatened Animals. CSIRO, Canberra. Level, 19(160), pp.408-409.",(Van Dyck & Gynther 2012)
"Van Rensburg, P.J.J. and Bester, M.N., 1988. The effect of cat Felis catus predation on three breeding Procellariidae species on Marion Island. South African Journal of Zoology, 23(4), pp.301-305.",(Van Rensburg & Bester 1988)
"Van der Weyde, L.K., Blumstein, D.T., Letnic, M., Tuft, K., Ryan-Schofield, N. and Moseby, K.E., 2023. Can native predators be used as a stepping stone to reduce prey naivety to novel predators?. Behavioral Ecology, 34(1), pp.63-75.",(Van der Weyde et al. 2023)
"VanderWerf, E. A. 2020. Hawaii Elepaio (Chasiempis sandwichensis), version 1.0. Ithaca, NY, USA. Cornell Lab of Ornithology. Available at: https://doi.org/10.2173/bow.elepai.01.",(VanderWerf 2020)
"VanderWerf, E.A., Pierce, R., Bebe, R. and Taabu, K., 2016. Habitat Use and Status of the Bokikokiko or Christmas Island Warbler (Acrocephalus aequinoctialis) 1. Pacific Science, 70(4), pp.437-446.",(VanderWerf et al. 2016)
"Vanstreels, R.E.T., Hurtado, R., Snyman, A., Roberts, D.G., Parsons, N.J. and Pistorius, P.A., 2019. Empirical primaquine treatment of avian babesiosis in seabirds. Journal of avian medicine and surgery, 33(3), pp.258-264.",(Vanstreels et al. 2019)
"Vargas, H. 1996. What is happening with the avifauna of Sab Cristobal? Notícias de Galápagos: 23-24.",(Vargas 1996)
"Veitch CR (1985) Methods of eradicating feral cats from offshore island in New Zealand. In: Conservation of Island Birds (ed. Moors PJ). International Council for Bird Preservation, Technical publications no. 3, Cambridge.",(Veitch 1985)
"Veitch, C.R., 2001. The eradication of feral cats (Felis catus) from little Barrier Island, New Zealand. New Zealand Journal of Zoology, 28(1), pp.1-12.",(Veitch 2001)
"Velarde, E. Navarro, C.J. Ruiz, E.A. Aguilar, A. 2011. Status of the Craveri's Murrelet Synthliboramphus craveri and reoccupation of a former nesting area. Marine Ornithology 39: 269-273.",(Velarde et al. 2011)
"Velarde, E., Navarro, C.J., Ruiz, E.A., Aguilar, A. 2011. Status of the Craveri's Murrelet Synthliboramphus craveri and reoccupation of a former nesting area. Marine Ornithology 39: 269-273.",(Velarde et al. 2011)
"Venz, M. 2015. Gravel-downs Ctenotus serotinus. Targeted species survey guidelines. Queensland Herbariun, Department of Science, Information Technology and Innovation, Brisbane.",(Chapple et al. 2024)
"Vernes, K., Elliott, T.F. and Jackson, S.M., 2021. 150 years of mammal extinction and invasion at Koonchera Dune in the Lake Eyre Basin of South Australia. Biological Invasions, 23(2), pp.593-610.",(Vernes et al. 2021a)
"Vernes, K., Jackson, S.M., Elliott, T.F., Tischler, M. and Harper, A., 2021. Diets of mammalian carnivores in the deserts of north-eastern South Australia. Journal of Arid Environments, 188, p.104377.",(Vernes et al. 2021b)
"Villard P, Dano S, Bretagnolle V (2006) Morphometrics and the breeding biology of the Tahiti Petrel Pseudobulweria rostrata. Ibis 148, 285–291.",(Villard et al. 2006)
"Vincenot CE, Collazo AM, Russo D (2017) The Ryukyu flying fox (Pteropus dasymallus)—a review of conservation threats and call for reassessment. Mammalian Biology- Zeitschrift für Säugetierkunde 83: 71–77.",(Vincenot et al. 2017)
"Vincenot, C.E., Koyama, L. and Russo, D., 2015. Near threatened? First report of unsuspected human-driven decline factors in the Ryukyu flying fox (Pteropus dasymallus) in Japan. Mammalian Biology, 80, pp.273-277.",(Vincenot et al. 2015)
"Vinson, J. and Vinson, J.M. 1969. The saurian fauna of the Mascarene Islands. The Mauritius Institute Bulletin, VI: 203-320.",(Vinson & Vinson 1969)
"Virion, M.-C., L. Faulquier, M. Le Corre, F.-X. Couzi, M. Salamolard, B. Lequette, P. Pinet, J. Dubos, M. Riethmuller, Y. Soulaimanana Mattoir, et al. 2021. Plan national d’action en faveur des pétrels endémiques de La Réunion 2021-2030. UMR ENTROPIE, Université de La Réunion, Société d’Études Ornithologiques de La Réunion, Parc national de La Réunion, La Réunion, France.",(Virion et al. 2021)
"Vázquez-Domínguez, E., Ceballos, G. and Cruzado, J., 2004. Extirpation of an insular subspecies by a single introduced cat: the case of the endemic deer mouse Peromyscus guardia on Estanque Island, Mexico. Oryx, 38(3), pp.347-350.",(Vázquez-Domínguez et al. 2004)
"WHITAKER CONSULTANTS LIMITED. 2002. Biodiversity and Conservation Status of Lizards in Threatened and Restricted Habitats of North-western New Caledonia: Report of the First Field Mission, September- October 2001. Unpublished report to Direction du Développement conomique et de l’Environnement, Province Nord, Koné, New Caledonia",(Whitaker Consultants Limited 2002)
"WHITAKER, A.H., R.A. SADLIER, A.M. BAUER, AND V.A. WHITAKER. 2004. Biodiversity and Conservation Status of Lizards in Threatened and Restricted Habitats of North-Western New Caledonia. Report by Whitaker Consultants Limited to Direction du Développement Économique et de l’Environnement, Province Nord, Koné, New Caledonia.",(Whitaker et al. 2004)
"Wakelee, K. M., Fancy, S. G. 1999. Oma'o (Myadestes obscurus), Kama'o (Myadestes myadestinus), Oloma'o (Myadestes lanaiensis) and 'Amaui (Myadestes woahensis). In: Poole, A., Gill, F. (ed.), The birds of North America, No. 460, pp. 1-28. The Academy of Naural Sciences and The American Ornithologists' Union, Philadelphia and Washington, DC.",(Wakelee & Fancy 1999)
"Walker, K., Moore, P., Elliott, G. 1991. The Auckland Island Banded Dotterel has apparently increased. Notornis 38: 257-265.",(Walker et al. 1991)
Wallach,Wallach
"Wallach A.D., Lundgren E.J. (2025) Review of evidence that foxes and cats cause extinctions of Australia’s endemic mammals. BioScience. DOI: 10.1093/biosci/biaf046",(Wallach & Lundgren 2025)
"Ward-Smith T, Nagakawa K 2012. Report on the transfer and monitoring of pateke (Anas chlorotis) from captivity to Cape Sanctuary, 2008-2012. Unpublished report, Cape Sanctuary.",(Ward-Smith & Nagakawa 2012)
"Watling, D. 2013. Building community support to search for the Red-throated Lorikeet in Fiji. In: Conservation International Pacific Islands Program (ed.), Biodiversity Conservation Lessons Learned Technical Series 24. Conservation International, Apia, Samoa.",(Watling 2013)
"Watling, D. and Lewanavanua, R. F. (1985) A note to record the continuing survival of the Fiji (MacGillivray’s) Petrel Pseudobulweria macgillivrayi. Ibis 127: 230– 233.",(Watling & Lewanavanua 1985)
"Watson K (2006). Aspects of the history, home range and diet of the feral cat Felis catus in the Perisher Range Resort areas of Kosciusko National Park, New South Wales. Masters Thesis, University of Sydney.",(Watson 2006)
"Watson, J. 1992. Nesting ecology of the Seychelles Kestrel Falco araea on Mahé, Seychelles. Ibis 134: 259-267.",(Watson 1992)
Waugh et al. 2006 in Agreement on the Conservation of Albatrosses and Petrels. 2009. C. ACAP Species assessment: Westland Petrel Procellaria westlandica. Downloaded from http://www.acap.aq,(Cooper et al. 2006)
"Wayne, A., Maxwell, M., Nicholls, P., Pacioni, C., Reiss, A., Smith, A., Thompson, A., Vellios, C., Ward, C., Wayne, J., Wilson, I. and Williams, M. 2011. The Woylie Conservation Research Project: investigating the cause(s) of woylie declines in the Upper Warren region Progress Report December 2011. Department of Environment and Conservation, Perth.",(Wayne et al. 2011)
"Wayne, A.F., Maxwell, M.A., Ward, C.G., Wayne, J.C., Vellios, C.V. and Wilson, I.J., 2017. Recoveries and cascading declines of native mammals associated with control of an introduced predator. Journal of Mammalogy, 98(2), pp.489-501.",(Wayne et al. 2017b)
"Wayne, A.F., Rooney, J.F., Ward, C.G., Vellios, C.V. and Lindenmayer, D.B., 2005. The life history of Pseudocheirus occidentalis (Pseudocheiridae) in the jarrah forest of south-western Australia. Australian Journal of Zoology, 53(5), pp.325-337.",(Wayne et al. 2005)
"Wayne, A.F., Wilson, B.A. and Woinarski, J.C.Z., 2017. Falling apart? Insights and lessons from three recent studies documenting rapid and severe decline in terrestrial mammal assemblages of northern, south-eastern and south-western Australia. Wildlife Research, 44(2), pp.114-126.",(Wayne et al. 2017a)
Web of Science,Web of Science
"Wehtje, W., Walter, H. S., Rodriguez-Estrella, R., Llinas, J. and Castellanos-Vera, A. (1993) An annotated checklist of the birds of Isla Socorro, Mexico. Western Birds 24: 1-16.",(Wehtje et al. 1993)
Welch,Welch
Weller 2014,Weller 2014
"Weller, F., Sherley, R.B., Waller, L.J., Ludynia, K., Geldenhuys, D., Shannon, L.J. and Jarre, A., 2016. System dynamics modelling of the Endangered African penguin populations on Dyer and Robben islands, South Africa. Ecological Modelling, 327, pp.44-56.",(Weller et al. 2016)
"Weston, M.A., 2003. Managing the Hooded Plover in Victoria: a review of existing information. Melbourne: Parks Victoria.",(Weston 2003)
"Wheeler, R. and Priddel, D., 2009. The impact of introduced predators on two threatened prey species: A case study from western New South Wales. Ecological Management & Restoration, 10, pp.S117-S123.",(Wheeler & Priddel 2009)
"Whitaker, T., Chapple, D.G., Hitchmough, R.A., Lettink, M. and Patterson, G.B. 2018. A new species of scincid lizard in the genus Oligosoma (Reptilia: Scincidae) from the mid-Canterbury high country, New Zealand. Zootaxa 4377(2): 269-279.",(Whitaker et al. 2018)
"White, H. L. ""Description of nest and eggs of Turnix olivii (Robinson)."" Emu-Austral Ornithology 22, no. 1 (1922): 2-3.",(White 1922)
"Whitehead, T., Vernes, K., Goosem, M. and Abell, S.E., 2018. Invasive predators represent the greatest extinction threat to the endangered northern bettong (Bettongia tropica). Wildlife Research, 45(3), pp.208-219.",(Whitehead et al. 2018)
"Whitlock FL (1924) Journey to central Australia in search of the Night Parrot. Emu 23, 248–281.",(Whitlock 1924)
"Whitmee, S. J. (1874). Letter addressed to the Secretary, dated Samoa, Dec. 12th, 1873. Proceedings of the Zoological Society of London 42, 183–184.",(Whitmee 1874)
"Whitmee, S. J. (1875). On a change in the habits of the Didunculus strigirostris. Proceedings of the Zoological Society of London 43, 495–496.",(Whitmee 1875)
"Whitworth, D.L., Carter, H.R., Palacios, E. and Gress, F., 2020. At-sea congregation surveys to assess the status of Scripps's Murrelets Synthliboramphus scrippsi at islands off western Baja California, México in 2002-2008. Marine Ornithology, 48, pp.41-52.",(Whitworth et al. 2020)
"Whitworth, D.L., Carter, H.R., Palacios, E., Koepke, J.S., Mciver, W.R., Hamilton, C.D., Mcchesney, G.J. and Gress, F., 2021. The rarest alcid: status and history of the Guadalupe Murrelet Synthliboramphus hypoleucus at Isla Guadalupe, Mexico (1892-2007). Marine Ornithology, 49, pp.133-143.",(Whitworth et al. 2021)
